kmlName,Images
STEI _ 20190608 _ 194643,"[20190606T165901_20190606T170333_T15TYL, 20190608T164849_20190608T165019_T15TYL]"
STEI _ 20190608 _ 195455,"[20190606T165901_20190606T170333_T15TYL, 20190608T164849_20190608T165019_T15TYL]"
STEI _ 20200729 _ 144350,null
