kmlName,Images
MCDI _ 20200713 _ 192937,"[20200713T170901_20200713T171937_T14SQJ, 20200713T170901_20200713T171937_T15STD]"
MCDI _ 20200713 _ 204455,"[20200713T170901_20200713T171937_T14SQJ, 20200713T170901_20200713T171937_T15STD]"
