kmlName,Images
JORN _ 20190825 _ 165611,"[20190822T173909_20190822T175453_T13SCS, 20190825T174909_20190825T180034_T13SCS]"
JORN _ 20210826 _ 173831,"[20210824T174909_20210824T175326_T13SCS, 20210826T173911_20210826T175436_T13SCS]"
